Project Name,Package Name,Type Name,Method Name,Code Smell
json-schema,org.everit.json.schema,ArraySchema,equals,Long Statement
json-schema,org.everit.json.schema,ArraySchema,tryPropertyDefinitionByMetaIndex,Complex Conditional
json-schema,org.everit.json.schema,ArraySchema,tryPropertyDefinitionByMetaIndex,Complex Method
json-schema,org.everit.json.schema,ArraySchema,tryPropertyDefinitionByMetaIndex,Long Statement
json-schema,org.everit.json.schema,ArraySchema,tryPropertyDefinitionByMetaIndex,Long Statement
json-schema,org.everit.json.schema,ArraySchema,hashCode,Long Statement
json-schema,org.everit.json.schema,ArraySchemaValidatingVisitor,visitAdditionalItems,Complex Conditional
json-schema,org.everit.json.schema,CombinedSchema,validate,Long Statement
json-schema,org.everit.json.schema,CombinedSchema,compareBySchemaType,Long Statement
json-schema,org.everit.json.schema,CombinedSchema,equals,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaValidatingVisitor,visitConditionalSchema,Complex Conditional
json-schema,org.everit.json.schema,ConditionalSchemaValidatingVisitor,visitConditionalSchema,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaValidatingVisitor,visitThenSchema,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaValidatingVisitor,visitElseSchema,Long Statement
json-schema,org.everit.json.schema,FormatValidator,forFormat,Missing default
json-schema,org.everit.json.schema,InternalValidationException,InternalValidationException,Long Parameter List
json-schema,org.everit.json.schema,InternalValidationException,InternalValidationException,Long Parameter List
json-schema,org.everit.json.schema,JSONPointer,JSONPointer,Complex Method
json-schema,org.everit.json.schema,JSONPointer,JSONPointer,Magic Number
json-schema,org.everit.json.schema,JSONPointer,queryFrom,Long Statement
json-schema,org.everit.json.schema,JSONPointer,readByIndexToken,Long Statement
json-schema,org.everit.json.schema,NumberSchema,equals,Long Statement
json-schema,org.everit.json.schema,NumberSchema,hashCode,Long Statement
json-schema,org.everit.json.schema,ObjectSchema,getPatternProperties,Long Statement
json-schema,org.everit.json.schema,ObjectSchema,definesProperty,Long Statement
json-schema,org.everit.json.schema,ObjectSchema,definesProperty,Magic Number
json-schema,org.everit.json.schema,ObjectSchema,equals,Long Statement
json-schema,org.everit.json.schema,ObjectSchema,hashCode,Long Statement
json-schema,org.everit.json.schema,ReadWriteValidator,createForContext,Long Statement
json-schema,org.everit.json.schema,ReferenceSchema,equals,Long Statement
json-schema,org.everit.json.schema,Schema,equals,Long Statement
json-schema,org.everit.json.schema,SchemaException,SchemaException,Long Statement
json-schema,org.everit.json.schema,SchemaLocation,toString,Complex Conditional
json-schema,org.everit.json.schema,StringSchema,equals,Long Statement
json-schema,org.everit.json.schema,StringToValueConverter,stringToValue,Complex Conditional
json-schema,org.everit.json.schema,StringToValueConverter,stringToValue,Empty catch clause
json-schema,org.everit.json.schema,StringToValueConverter,stringToNumber,Complex Conditional
json-schema,org.everit.json.schema,StringToValueConverter,stringToNumber,Complex Conditional
json-schema,org.everit.json.schema,StringToValueConverter,stringToNumber,Complex Method
json-schema,org.everit.json.schema,StringToValueConverter,stringToNumber,Magic Number
json-schema,org.everit.json.schema,StringToValueConverter,stringToNumber,Magic Number
json-schema,org.everit.json.schema,StringToValueConverter,stringToNumber,Magic Number
json-schema,org.everit.json.schema,StringToValueConverter,stringToNumber,Magic Number
json-schema,org.everit.json.schema,ToStringVisitor,visitSchema,Long Identifier
json-schema,org.everit.json.schema,ToStringVisitor,deduceSpecVersion,Long Statement
json-schema,org.everit.json.schema,ToStringVisitor,printInJsonObject,Long Identifier
json-schema,org.everit.json.schema,ToStringVisitor,visitArraySchema,Long Statement
json-schema,org.everit.json.schema,ToStringVisitor,visit,Long Identifier
json-schema,org.everit.json.schema,ValidatingVisitor,ValidatingVisitor,Long Parameter List
json-schema,org.everit.json.schema,ValidatingVisitor,visitNullSchema,Complex Conditional
json-schema,org.everit.json.schema,ValidatingVisitor,visitCombinedSchema,Long Statement
json-schema,org.everit.json.schema,ValidatingVisitor,ifPassesTypeCheck,Complex Method
json-schema,org.everit.json.schema,ValidatingVisitor,ifPassesTypeCheck,Long Parameter List
json-schema,org.everit.json.schema,ValidationException,getAllMessages,Long Statement
json-schema,org.everit.json.schema,ValidationException,getAllMessages,Long Statement
json-schema,org.everit.json.schema,ValidationException,createWrappingException,Long Statement
json-schema,org.everit.json.schema,ValidationException,ValidationException,Long Statement
json-schema,org.everit.json.schema,ValidationException,ValidationException,Long Parameter List
json-schema,org.everit.json.schema,ValidationException,ValidationException,Long Statement
json-schema,org.everit.json.schema,ValidationException,ValidationException,Long Parameter List
json-schema,org.everit.json.schema,ValidationException,ValidationException,Long Parameter List
json-schema,org.everit.json.schema,ValidationException,prepend,Long Statement
json-schema,org.everit.json.schema,ValidationException,prepend,Long Statement
json-schema,org.everit.json.schema,ValidationException,prepend,Magic Number
json-schema,org.everit.json.schema,ValidationException,hashCode,Magic Number
json-schema,org.everit.json.schema,ValidationException,hashCode,Magic Number
json-schema,org.everit.json.schema,ValidationException,hashCode,Magic Number
json-schema,org.everit.json.schema,ValidationException,hashCode,Magic Number
json-schema,org.everit.json.schema,ValidationException,copy,Long Statement
json-schema,org.everit.json.schema,DefaultValidator,performValidation,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,additionalItemsSchema,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,additionalItemsSchemaFailure,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,additionalItemsSchemaFailure,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,doesNotRequireExplicitArray,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,maxItems,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,minItems,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,minItems,Magic Number
json-schema,org.everit.json.schema,ArraySchemaTest,noAdditionalItems,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,nonUniqueArrayOfArrays,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,tupleWithOneItem,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,subjectHasLessElemsThanTupleEntries,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,containedItemSchemaFailure,Long Statement
json-schema,org.everit.json.schema,ArraySchemaTest,containedItemSchemaEmptyArr,Long Statement
json-schema,org.everit.json.schema,CombinedSchemaTest,subschemasSort,Long Statement
json-schema,org.everit.json.schema,CombinedSchemaTest,subschemasSort,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,subschemasSort,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,subschemasSort,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,subschemasSort,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,subschemasSort,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,subschemasSort,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,subschemasSort,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,allCriterionFailure,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,allCriterionSuccess,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,allCriterionSuccess,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,anyCriterionFailure,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,anyCriterionSuccess,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,anyOfInvalid,Long Statement
json-schema,org.everit.json.schema,CombinedSchemaTest,anyOfInvalid,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,anyOfInvalid,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,oneCriterionFailure,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,oneCriterionFailure,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,oneCriterionSuccess,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,validateAll,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,validateAny,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,validateOne,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,reportCauses,Magic Number
json-schema,org.everit.json.schema,CombinedSchemaTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema,CombinedSchemaTest,toStringTest,Long Statement
json-schema,org.everit.json.schema,CombinedSchemaTest,toStringTest,Long Statement
json-schema,org.everit.json.schema,CombinedSchemaTest,toStringTest_withSynthetic,Long Statement
json-schema,org.everit.json.schema,CombinedSchemaTest,oneOfEarlyFailureTest,Long Statement
json-schema,org.everit.json.schema,CombinedSchemaTest,oneOfEarlyFailureTest,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaEventsTest,validateInstance,Empty catch clause
json-schema,org.everit.json.schema,ConditionalSchemaEventsTest,ifMatch_thenMismatch,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaEventsTest,ifMismatch_elseMatch,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaEventsTest,ifMismatch_elseMismatch,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaEventsTest,ifMismatch_elseMismatch,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,initCompleteSchema,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,onlyIfSuccessEvenIfDataIsInvalidAgainstSubschema,Magic Number
json-schema,org.everit.json.schema,ConditionalSchemaTest,onlyThenSuccessEvenIfDataIsInvalidAgainstSubschema,Magic Number
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaSuccessThenSubschemaFailure,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaFailureThenSubschemaFailure,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaSuccessThenSubschemaSuccess,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaFailureThenSubschemaSuccess,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaSuccessElseSubschemaFailure,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaFailureElseSubschemaFailure,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaSuccessElseSubschemaSuccess,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaFailureElseSubschemaSuccess,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,thenSubschemaSuccessElseSubschemaFailure,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,thenSubschemaFailureElseSubschemaFailure,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,thenSubschemaSuccessElseSubschemaSuccess,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,thenSubschemaFailureElseSubschemaSuccess,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaSuccessThenSubschemaSuccessElseSubSchemaSuccess,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaSuccessThenSubschemaSuccessElseSubSchemaFailure,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaSuccessThenSubschemaFailureElseSubSchemaSuccess,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaSuccessThenSubschemaFailureElseSubSchemaFailure,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaFailureThenSubschemaSuccessElseSubSchemaSuccess,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaFailureThenSubschemaSuccessElseSubSchemaFailure,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaFailureThenSubschemaFailureElseSubSchemaSuccess,Long Statement
json-schema,org.everit.json.schema,ConditionalSchemaTest,ifSubschemaFailureThenSubschemaFailureElseSubSchemaFailure,Long Statement
json-schema,org.everit.json.schema,ConstSchemaTest,testFailure,Long Statement
json-schema,org.everit.json.schema,ConstSchemaTest,successWithInteger,Magic Number
json-schema,org.everit.json.schema,ConstSchemaTest,failureWithInteger,Magic Number
json-schema,org.everit.json.schema,ConstSchemaTest,failureWithInteger,Magic Number
json-schema,org.everit.json.schema,DefaultAndRequiredTest,defaultAndRequired,Magic Number
json-schema,org.everit.json.schema,DynamicReferenceSchemaExample,main,Magic Number
json-schema,org.everit.json.schema,DynamicReferenceSchemaExample,main,Magic Number
json-schema,org.everit.json.schema,EmptySchemaTest,testAllGenericProps,Magic Number
json-schema,org.everit.json.schema,EmptySchemaTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema,EnumSchemaTest,toStringTest,Magic Number
json-schema,org.everit.json.schema,EnumSchemaTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema,JSONMatcher,describeTo,Magic Number
json-schema,org.everit.json.schema,JSONMatcher,describeMismatchSafely,Magic Number
json-schema,org.everit.json.schema,JSONPointerTest,toStringEscaping,Long Statement
json-schema,org.everit.json.schema,JSONPointerTest,queryFromJSONObject,Long Statement
json-schema,org.everit.json.schema,JSONPointerTest,queryFromJSONObject,Long Statement
json-schema,org.everit.json.schema,JSONPointerTest,queryFromJSONObjectUsingPointer,Long Statement
json-schema,org.everit.json.schema,JSONPointerTest,queryFromJSONObjectUsingPointer,Long Statement
json-schema,org.everit.json.schema,JSONPointerTest,optQueryFromJSONObjectUsingPointer,Long Statement
json-schema,org.everit.json.schema,NotSchemaTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema,NullableValidationTest,testNullableFalse_JSONNull,Long Statement
json-schema,org.everit.json.schema,NullableValidationTest,testNullableFalse_nullReference,Long Statement
json-schema,org.everit.json.schema,NullSchemaTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema,NumberComparatorTest,equalCases,Long Statement
json-schema,org.everit.json.schema,NumberComparatorTest,notEqualCases,Long Statement
json-schema,org.everit.json.schema,NumberComparatorTest,notEqualCases,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMinimum,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMinimum,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,maximumFailure,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,maximumFailure,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMaximum,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMaximum,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,minimumFailure,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,minimumFailure,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,minimumFailureLong,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,minimumFailureLong,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,minimumFailureLong,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,minimumFailureLong,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,minimumFailureBigInt,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,minimumFailureBigInt,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMinimumLimit,Long Statement
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMinimumLimit,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMinimumLimit,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMaximumLimit,Long Statement
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMaximumLimit,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMaximumLimit,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveLimitsSuccess,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveLimitsSuccess,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveLimitsSuccess,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,multipleOfFailure,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,multipleOfFailure,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,shouldListAllViolationsWhenThereIsMoreThanOne,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,shouldListAllViolationsWhenThereIsMoreThanOne,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,shouldListAllViolationsWhenThereIsMoreThanOne,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,shouldListAllViolationsWhenThereIsMoreThanOne,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,shouldListAllViolationsWhenThereIsMoreThanOne,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,requiresIntegerFailure,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,requiresIntegerStringGivenFailure,Long Statement
json-schema,org.everit.json.schema,NumberSchemaTest,requiresIntegerSuccess,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,smallMultipleOf,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,smallMultipleOf,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,success,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,success,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,success,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,success,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,longNumber,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveLimits,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveLimits,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveKeywordClash,Long Statement
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveKeywordClash,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveKeywordClash,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveKeywordClash,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveKeywordClash,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMinimumDoubleBoundary,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMinimumDoubleBoundary,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,tryIntegerTypes,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,tryIntegerTypes,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,tryIntegerTypes,Magic Number
json-schema,org.everit.json.schema,ObjectComparatorTest,failingCases,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,toStringToSchemaMap,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,additionalPropertiesOnEmptyObject,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,additionalPropertySchema,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,maxPropertiesFailure,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,maxPropertiesFailure,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,minPropertiesFailure,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,minPropertiesFailure,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleAdditionalProperties,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleSchemaDepViolation,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleSchemaDepViolation,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolations,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolations,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,patternPropertyTranslation,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,patternPropertyOverridesAdditionalPropSchema,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,patternPropertyViolation,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,patternPropsOverrideAdditionalProps,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,propertyDepViolation,Long Statement
